tx_id,tx_hash,tx_version,tx_lockTime,tx_size
32,86b33edba8ff663b0f73ef487e4433f34d26ef91de15659d2cc09594d27b52cb,1,0,134
33,2b9905f06583c01454f10f720b5709e3b667c9dd3d9efc423c97b7e70afdc0c9,1,0,134
34,bdeaa0089cd84670da5e6385f0185c2d7978bf57a1aa5540d3ff3b3eabaa1210,1,0,134
35,223b0620a8f1c1f23a2ebf8032ed11321b921017d01974e74cddd651319b5474,1,0,134
36,852b1997ed935ba638078998e2d15bc8a91b8ad232e2d988e22c969eba3bafe0,1,0,134
37,d05d256fbd5845b30039e37d48215788a4e438249048c47ddb9c83cd927d4d5a,1,0,134
38,6d344eb5d67ed329a1c1d7603bba4b85d5916435b49f7a585bb370b76820287d,1,0,134
39,e690daeb9f73d29d8a22cb4b5ec29970e9b32283d4376adeaad8691ccb449a68,1,0,134
40,1484c18ba443b13851098597d8cb6d49d5983eab63c53d6b0dcc565612e7ca6b,1,0,134
41,04391286b3aefbb5df4cdb515ac7fce7942525fa602e1d7757e90a4fd41a1e20,1,0,134
42,9efa6cb3b8cca3c9387144f397f80e7b4bc2dd86026fdd308625a2e100a08d5a,1,0,134
43,27c4d937dca276fb2b61e579902e8a876fd5b5abc17590410ced02d5a9f8e483,1,0,134
44,2f5c03ce19e9a855ac93087a1b68fe6592bcf4bd7cbb9c1ef264d886a785894e,1,0,134
45,439aee1e1aa6923ad61c1990459f88de1faa3e18b4ee125f99b94b82e1e0af5f,1,0,134
46,f69778085f1e78a1ea1cfcfe3b61ffb5c99870f5ae382e41ec43cf165d66a6d9,1,0,134
47,ddd4d06365155ab4caaaee552fb3d8643207bd06efe14f920698a6dd4eb22ffa,1,0,134
48,d17b9c9c609309049dfb9005edd7011f02d7875ca7dab6effddf4648bb70eff6,1,0,134
49,32edede0b7d0c37340a665de057f418df634452f6bb80dcb8a5ff0aeddf1158a,1,0,134
50,194c9715279d8626bc66f2b6552f2ae67b3df3a00b88553245b12bffffad5b59,1,0,134
51,540a7e54fd64478554519f1b2d643ecc888c5030631487f9cfc530b71d281309,1,0,134
52,a09c89d2a31440658a42ec97aeee0d36b01529e45b315922e2aa2955334d1821,1,0,134
53,b3f978e6ee5e91662af30a634b3f3268c6f5d34aac1eb54e6cc9535026f5084f,1,0,134
54,3c6f58905f06a9fe9b4313a88827c43dbfb0156fcc3b17bb311d51e8be6746f5,1,0,134
55,d3dc9be5d58809579e56cdd64e78257ecd24e2726cf26ef0a698f4e5c07670b5,1,0,134
56,19521c62482ac299b37c8ae4eab67abd150e3c21dc66b7e2b0919444769ee2ed,1,0,134
57,fe9ccc6c8b44c67ab170135d4148d6424e748f7549547d8174d59b5127df0102,1,0,134
58,bc0f0f8b3235421a036122299db7046a00c3a7cd1d650de3d92969780b873728,1,0,134
59,9635054e3de101ea39dcfa5f4cec63ceb1205db6e0a99304c8db2b3a162137e4,1,0,135
60,3c0db11484606a63b04ef4b8adcd665655939d3932ab1ebe90d1dfc5f077ca95,1,0,135
61,82a1e1731a9b22fdea55c09f2fac191a89efee127956fcfef65caab70f54002d,1,0,135
62,ae6eedf8e47ac6dda10ca9f3334bd3031795c55a124948003acd944ebd31fee1,1,0,135
63,701ce76c033e0b03fa79503770a5874840373e30cd9c1eca472ec66617f3a3ee,1,0,135
64,0731f33cf07a2e5f749a2910c437a015968e1fc2ed79c95634829167db280c4f,1,0,135
65,ebdb8335d5b148e9cc1b1bb795ee619a649bd1638e5514fdfc3004b1c56fd6a4,1,0,134
66,f15c7c51118c1dc93129a9f4999c7768ef2ff8cda3230f56d32576518c5f9349,1,0,135
67,f01d7897ca02ed20dfb5544b3c1228e225fd97b72510d40af6c9d8e489033a74,1,0,135
68,b17fc28c1dc15ca4b05bf4784419c145b14e79ece54c793656997984c4e46715,1,0,135
69,bdc5121446fd203abbf0e4d13fe99594dc3dc4c1cb95504feb459e8982d923be,1,0,135
70,807822a80b4ed7b7dfbe560a79705c62a71e48be9dbcce152ab70f94b1eb4307,1,0,135
71,aa5f3068b53941915d82be382f2b35711305ec7d454a34ca69f8897510db7ab8,1,0,135
72,fd83acf6e35be34a654ae53fbdc43ae4a7c4e1bcc334064a6360bf6b32339fcb,1,0,135
73,dea3224cc1333edf41b3b97913d8b2a6402bddf6132f2137e003b535369f9ae1,1,0,135
74,41b48c64cba68c21e0b7b37f589408823f112bb7cbccef4aece29df25347ffb4,1,0,134
75,d472546c5171ea73bc9000f2994f069631c7706f5e922e2fe5f8e50e0402bed6,1,0,134
76,382501ac2d50c5944465c2c316dbe2c70f23dd0de73ea86d339ea5f2bca7b648,1,0,134
77,47c981c4193d62d9d33b59fe1a6de9c27ff78d9f9003325b61e686a720673626,1,0,134
78,b5015619429af022efa69e0401891a92533b1852f214b68504c2e435a8cb7d0e,1,0,134
79,7ea1d2304f1f95fae773ed8ef67b51cfd5ab33ea8b6ab0a932ee3e248b7ba74c,1,0,134
80,fb9967077804b9a4b7f5c80f7d8c567639cc14b17955da27c10b9947ddbd1825,1,0,134
81,5ed287fa7b07229b53b15c6ad95ab49c1c222aa0fcfa2dd6603fa8492fae54c6,1,0,134
82,5c4c653395879f5992949b3e28bb0be7b27d49e9e11d64899c5de30928d4ad99,1,0,134
83,81fb4b1430e5c2cdee38be1a147c45fe23b38bbad0375ff67dc64450844445be,1,0,134
84,561eebc615218a12a9588ac78dde63aa56f3b1b43eb17174d2f093d1e2d1ca73,1,0,134
85,9a3d8485cde248ab7dcea68c5a8539498ecb8ad337f2574fc2143d2f644b2e1d,1,0,134
86,c39bde3039372f835ca96f15d5f38df585fac24a316d28cb5febae7c4af15cb4,1,0,134
87,12272d79ff1fbc1238d78d7d6e0e75c5f0e7aae7925e4f59b96b02fc2cd82bfc,1,0,134
88,edb7b78f88263e5c47717ee0761131683e85cc31beeac9a98554917c30686440,1,0,134
89,797556eb999f8fdfd8198dd9ea80723409a359ddcd75c4a54a511970745812f0,1,0,134
90,2306da842919574ed10ee9c211508b2bae2e8729b2fa5e83b4173831b89d2c28,1,0,134
91,9f94cc5c9211258c39f048f4da42dd3048e4d1434c2eff2d28dbf3b3612775c6,1,0,134
92,c184c93d7494f4096e9e9cb420f7d74c79c4ffd2806d68ff03bb7633bbf21d67,1,0,134
93,81b896b98663fb6238c9643545eba3a1b32933f96e1a33d122efed5ab7165f2d,1,0,134
94,71cbe112176d6dc40490dde588798bd75de80133438016a0c05754d74ee1925a,1,0,134
95,3226a75aaf23565ab1f4b4d3cf7f945e188b1ef35d14bba50bd3ee05df985490,1,0,134
96,8f2cd8d8c2b4ac9162cd8fb11856982ca1bb33898d19f6b50d8361b1318b7dc0,1,0,134
97,5f716bfbb5be57a4f2283509938898cffe7971af12adb152a058ac02405c85d8,1,0,134
98,cc4d0dd009ccf08805d9dca9232a47c60681375312a520f3609045649c2a1690,1,0,134
99,d0d31488af1205e17630a459d0e2874d18e3102bee42b4dd3806dd9169638b66,1,0,134
100,33a4592d4d8dc04304361ad7bcd96fe23fa801db6d7d917074f75c732079a569,1,0,134
101,2d05f0c9c3e1c226e63b5fac240137687544cf631cd616fd34fd188fc9020866,1,0,134
102,cfe6b74cab677b52d850ac659d54266a3a4d7bb48270234d2fec836881d0a5f7,1,0,134
103,3b44b5ce02d36db604f0d6b7cc761685484c370a235c54539700b1ad23afefce,1,0,134
104,88d2a4e04a96b45e3ba04637098a92fd0786daf3fc8ff88314f8e739a9918bf3,1,0,134
105,240074c357b073a794d4dddb19cfb656f2899a89cc2988ab78668efe46d6b74b,1,0,134
106,5bc9bd461b455db119181c060085bd656430d9d431bbe4539eb0e367e9c77ac8,1,0,134
107,18883aec5f3e6cec38520df46530f0c6b1ab35973c386922e1c4580fbb9dee80,1,0,134
108,97e5c5228b572e1be5e91e0cf04784757a293a5efe2788df42868d5cc12a2382,1,0,135
109,202b784e7fcbb28b28906a80d0b65a97cea04db8e34d26596efa55f8806a9402,1,0,135
110,a3007f3f43250476e47d2326dff86155f219294467da4e9e66a168abfab4b230,1,0,135
111,abde5e83fc1973fd042c56c8cb41b6c739f3e50678d1fa2f99f0a409e4aa80c7,1,0,135
112,e7a3e246c6f2d582b089d7d6c2f925e8aae46ef0c0ce97d3dd3afe3016a44e97,1,0,135
113,3438117001eedca26a917571b11e684ab3a4b1ca172fdc0ccaa3cc439b211ead,1,0,135
114,2190266c257e569eb34062471fd3d2327252ab5bdc6427dbc4531e2c8ac4e5e1,1,0,135
115,ca7b0295546806c9b6631f8bc89ed0b55434ee5f8ce6198a918af18c6da9237c,1,0,135
116,3ed59485d7b1e1ded9c35a5a098611f5ddd7c1581923de11165b759b5fc8e0a4,1,0,135
117,5c8605699ca5c4ab9a4ff4054d04c253331f20e8f338a7482cde878f5b63bea9,1,0,135
118,bbbf6ee73ce663f04f74b2847f39f1ac6ecff085f6bad7b6a20bfd15f06143fb,1,0,135
119,4451cf99a232a9f43f7726989789a4fa62e4ab14af507cbe864bf9bac64281c2,1,0,135
120,3797c09006aaad367f7342e215820e499bfbb809f042c690fb7a71b8537c0868,1,0,135
121,41d65efc188d9394e47987b39891254cdb35cdfbbcc5876193685994e8a6e6f5,1,0,135
122,38d907cc08db97a47c2a6e789daeaf6343fa107c5e03297a8bb709373ac17eff,1,0,135
123,d637b6d9c9847fb9fad159f6a60d6d8c93fc546f9fd61c317d61315bea9fdbef,1,0,135
124,b944ef8c77f9b5f4a4276880f17256988bba4d0125abc54391548061a688ae09,1,0,135
125,611b40973fe68cc42b70ae5af365a449af458d76086415c6fa6c45364c36278e,1,0,135
126,0d4fe37aeb52ff6c01f119fe0cd42ee8f2366d9bf55c50ba8fe52e760dcbc96a,1,0,135
127,28614aedbf551e1e4c0ba85cfae326a0b17c7fe0812a7e814d8612d9936e19c8,1,0,135
128,0a4820413c11c1b9d28bff885a155da7ed1fcaf784d22f5b46796e2c4e83ace1,1,0,134
129,5f9aa6e1717102b9a059c223901fa36842c8a9db462d58a0ba71177c9ed9febc,1,0,134
130,9a1f38fa9f25bb77504cfda998c4742b5a22466acb32ebedb247bd284682a5be,1,0,134
131,9200bf5bccb0e27e20939be38d83e4b1d337e219e0e254a4d0c57a1a9973ba36,1,0,134
132,9a9699147493e8528df46eb9a3216ad1ab64fd733fa3f8f3d55908ad7ec41ff9,1,0,134
133,0f1bb85ed4cdf6bc13491b23afb924bb9ac556fb1db246d09252443a66a2a9e4,1,0,134
134,08648614555595f23ea51c8c018777ac0601e328d7784e41a18408863d98500d,1,0,134
135,0531b1aae949e997105507732ed7c76eae5c9ea987d7a4f7c45e7a28c36cab28,1,0,134
136,f2a9c8b6b9361b21ee2f28672053ba0080b2bbbcb767ad34eb0c4d614d54014a,1,0,134
137,503b849e628ef733ee0b0d9dc152f96e78a083afaee5c84298c2855e1d80c9f1,1,0,134
138,882b98507359823f93cf9830ee90e192c62d4964c16297c6dc3bf525d27a53cb,1,0,134
139,d813666ec8d5d1b7ec5fb99e69b4d669470b43c1ee0218ecec0b2238d8f8a7d9,1,0,134
140,65874fda54b304d965905765a590fac1ba46585a38e3e5e48db216476caf011d,1,0,134
141,0e9639e3e6161c7c2917aa114fd6695e92c35f1c6acc6ad8489e3e44683727d5,1,0,134
142,b0a8291efa1dcd99cf58b5216c4105283b9a482b2f2d821ce00a52ced4908444,1,0,134
143,73a4ce71aab2077ce17239c9f31922571e703a26d2c212daffae2bb15bb898ba,1,0,134
144,9d16f495beba16b70e05682c6e8dacf34e832db1dbc8b05c2c3bdae7effd0642,1,0,134
145,70b8b6b9f6b4989ad63a19001c311c141dbb6ecdd060c56ae4f05bb507f95836,1,0,134
146,3f44efc23687edae461827db9545731ec7232b1d681f1562911a25c0159e3539,1,0,135
147,429cb6f783a85f46b55ae3066d01dad772c14a53abcab4973182eb24413783a6,1,0,135
148,ae44c01fafeb75098a9bb331c5e541ac5a2ad27e08282a10ab189c80c568616f,1,0,135
149,55a6ec0df293a3bf380c094981f44d2a402798dc39dc6a4a0cd29f70bf1bc18a,1,0,135
150,5acba2e13fcd823b5541403a2e3e1b7e96ced0663b957710f370842776bb4f47,1,0,135
151,b52919a809a1c16fd13a0e546b73b00d704ca5305aab2b1818a066f3f43c25b9,1,0,135
152,a0a9b9690b60d35d1041371e3b1f6932d90d3f917cbfee251466f769dd900cfe,1,0,135
153,b774fa572cd148e44e2260fd7d026560655ce264c7c32b422b9f20ebb60c7eca,1,0,135
154,cb35591c2bdce399011c3352d48d4445d989a553193e0bbb8a72dd5b9aae3fca,1,0,135
155,6e83c14dc03aab90457e0fd9c305809189c42d86ea415ac7887931e5d76534ce,1,0,135
156,e94f87abbfbf2b475b2f8f6eaae2becf481e0e82114040bf4b57d359dc7dfa52,1,0,135
157,cbcc6534a64d072365408f30edb21270dd861ab927fdfb7f2574457922bd3edc,1,0,135
158,31c8797c11bcb48f91b794b45fb999c2aab7902ab4e3e55f2ed28838bf2065d4,1,0,135
159,a082c05607eadab443076ec8a9c6c6a64149da9ff09ea91b77277d430603e56d,1,0,135
160,4552bd87f70bbcde3a1e5a210e96a40aa4e5efaabbfd37e4b0ae5367e349f916,1,0,135
161,2eb014eb0def199ad346be8c579409938f8571811178e9efbca2ef505d036317,1,0,135
162,9a1674851f7938ae6b35538b5b85a477dfbccb5c74cc88c475d026a7b6548a79,1,0,135
163,01015f270c5c272d83f7b41b895ae548c797fb05be65479c8f5d7fce7c8fe6f6,1,0,135
164,030b9536f8212a2986f45e8eafb294a401f9e5eb1b410dae33309c8ceab70c11,1,0,134
165,053664b11b14df95e7e183450cb594fe6c3348e3981c183a0e5fb93da0da24fa,1,0,134
166,c11a2807396b22978f8f82357d3466a949cdaa046713ab004b5d48647c029ebe,1,0,134
167,84ace723cb0fcb4f4459cf7c7822a3142c6c1f84fff5dfceab494984c3947a7a,1,0,134
168,268a23c98e0b3c662ab55a51e3e3d38f5663924b7ad401bbd59d84f45a3a704c,1,0,134
169,6a8226ad9980693ffbf41a15a1118fb73a9f68cda9c0b9951490bd03cb70d1d8,1,0,134
170,d7b9a9da6becbf47494c27e913241e5a2b85c5cceba4b2f0d8305e0a87b92d98,1,0,134
171,b1fea52486ce0c62bb442b530a3f0132b826c74e473d1f2c220bfa78111c5082,1,0,134
172,f4184fc596403b9d638783cf57adfe4c75c605f6356fbc91338530e9831e9e16,1,0,275
173,d5f2d21453a6f0e67b5c42959c9700853e4c4d46fa7519d1cc58e77369c893f2,1,0,134
174,389cf9b9fc51d668dafb9dc6b9a24b8fddec5f035235a58d4a62919b39b078d5,1,0,134
175,60967e291dd8f3e3e817d6aa6e2e86d754e0b99f037f6b3f7079367ee7a30952,1,0,134
176,ccb97113d5c2156d938edfaff425e301d1b862c9986714d443ab43070f119581,1,0,134
177,48fb3d15e828a31aab6ae17b6f5b14333d0701a9358f9d2ea57655c32cb53b90,1,0,134
178,64c195ad911554d3cbfbed05f78b5aa9379a0f98600305b03469cbb70ce13d5c,1,0,134
179,07b4b23fca39e9b263fd214d9274335231c3b025aa3d817860fc214a84365e88,1,0,134
180,672778aca436894888bb63d7a37d2f67c5942caca93942ee2e98143c08f1f46b,1,0,134
181,c77891a80c3929fd2db7b5120749dbd35ebdbb10ab92489f98c23953afcfc36b,1,0,134
182,bd8cfe1837c88caa4ca37df77380d5b0af9692ed92ddbc247cd2aef388691d4f,1,0,134
183,8347cee4a1cb5ad1bb0d92e86e6612dbf6cfc7649c9964f210d4069b426e720a,1,0,134
184,a16f3ce4dd5deb92d98ef5cf8afeaf0775ebca408f708b2146c4fb42b41e14be,1,0,275
185,09e5c4a5a089928bbe368cd0f2b09abafb3ebf328cd0d262d06ec35bdda1077f,1,0,134
186,591e91f809d716912ca1d4a9295e70c3e78bab077683f79350f101da64588073,1,0,275
187,b2e561eb278f5aba7a2c78d46422f496f4998003635cc65807e230407190a355,1,0,134
188,12b5633bad1f9c167d523ad1aa1947b2732a865bf5414eab2f9e5ae5d5c191ba,1,0,276
189,7261a156ddd561c8144eed6956ada63bf53fa015ef84f8f2b06d9928caf320bf,1,0,134
190,31df41cb92e000cfa5f0403bdbe41e5a693b01821b0ee9b9583afeffaf47dcee,1,0,134
191,21cb91349d6403cd296d60f94a52a2da4cc47c70fd7fb7f2ee33bd580c7b7c2f,1,0,134
192,70587f1780ccd2ebbace28a7b33d83d19f4362f10ff7a4ad88f8c413883f94b7,1,0,134
193,4385fcf8b14497d0659adccfe06ae7e38e0b5dc95ff8a13d7c62035994a0cd79,1,0,199
194,3a6d490a7cf40819cdd826729d921ad5ab4b8347dfbec81179dd09aba0d25b37,1,0,134
195,5f6c6965593c19c55ea077d820dc1b49172e92e7179ac02491396c96292b6f5e,1,0,134
196,03754cb5d97171f404f7e298cd9a01933ec6581483757d79bebd4c226d962f35,1,0,134
197,eb0050c15250c0cae3248d4989c84b45495aeb3d8434627fb8d217deb399adb1,1,0,134
198,16293da6d4078f636b691448b57f96d5af32d7ca3fb15a20cc74845b224a44bd,1,0,134
199,10470e2c3c443863ea2e84684f7f6021539f518d3246ad97125d348ea1a75964,1,0,134
200,a7edd1f5436d5867b26cbf0bff7663329198b1d4ab41beb8a3b9b36836dd1429,1,0,134
201,49203e3de10ef224649f86efe80fc40bbaa30bc2ae069204724f0d33dbc744df,1,0,134
202,3f3c3521288c32c85172217f6dc0275740425e28d517f4b6638d7b282c409221,1,0,134
203,7a98238d69b473e82a4ccfa62463064379c0c96fa890a951ccdbb924f5572dcb,1,0,134
204,8453119b70f9a2b31aa32c64b5cade25fea8b67fb3437cb90a2332463f03250c,1,0,134
205,7794b939df62305460eb1b03adbf4a0cc1e1b43a3670e5272b7c71bf6574fa28,1,0,134
206,2b1f06c2401d3b49a33c3f5ad5864c0bc70044c4068f9174546f3cfc1887d5ba,1,0,134
207,864b69193eb78695cc6990d65c37877ede30dbddbe1a5a81a5a0bfb370c6ce1d,1,0,134
208,3eb409c61a3314558d8355a9f2e5ab4470cd12cac3d3eb48c1f76282e8fee468,1,0,134
209,1c3b9c8a47f3f6f29a1580df8478cfc692c5a2f6ba3bcbe0f9251f32170fd665,1,0,134
210,4b2eaa4a5da7d929fc652e089d7d1b86948fdf920ef430c03b93172fd4e6a721,1,0,134
211,b4789eff05c89c1b396c05f13a4b93e14295d15afda191e108dac8a1a292f126,1,0,134
212,32cbb7e4d08f02fdd78368a7a03ff54c13191d1023aa1e3f157027241d9840ae,1,0,134
213,10213d32652ab07be761d88a33ead6a159fa9bc60456843bbd3ab9583b9dc383,1,0,134
214,3e0700022ee439f07d77033161449339f46a90e408290af3f65259ad5e724977,1,0,134
215,15ca7e3d03d9866a335400244e71dfc405c551c2854fc8d8edfa82729438357d,1,0,134
216,4cfff6b0df4bb66e6ff4d4bfeebf25b61425a81ff9b590603955ec6f840756c6,1,0,134
217,17b5dd11f3672e2eae1b5b5bdd7804eb6ca4e780c46745a0c5d2d79ddb9aaa1b,1,0,134
218,70a7de774e7ce62e55460baab990608f9b9564615846aaaa3c6cd7e93af73f7a,1,0,134
219,f2f1c70f29204fdf71f8f158b5f0e8f56aa6bc9a7978d44a4b481b5622a00c2f,1,0,134
220,e483dbbeff3ed483b5cf783fb858dc517b389578d5d7dd64ae760abcd7a0f7c9,1,0,134
221,dc97de0dc82410ad3d32fe6f4f82ecc17ab544893830f6c802f9e31e0050a0f8,1,0,134
222,6057ddaf5005be3a205bacc8faf97e3fd6348d655e5ce98917ee116ce47c9b01,1,0,135
223,56a198d8fa14f10e6f7d7df7b14ea3bf90cf20f98bd4bce89a41e423b78f5236,1,0,135
224,46e421bd0d33659cf4be11abfa1b864c25a0e5671a646ed6e7c81d3a69211700,1,0,135
225,909d55b144aab663ccbcdbc1440c05e00bc94447b7fbc44a1c148e8ecdaeaf82,1,0,135
226,d09e93200dd6d2a1343001b0b2755da288f31c291abd42b134d3b3ac24920513,1,0,135
227,264e7238ddc574d5d6ded85d77bfcb69d99a0de17dfcdef0b7e97d430c4f202d,1,0,135
228,298ca2045d174f8a158961806ffc4ef96fad02d71a6b84d9fa0491813a776160,1,0,201
229,2589399db3e7beda1003703a99e366ea227b6b0d84480f0a0c00283abece0ded,1,0,135
230,2038fd408bb42f6c8a0484c82e6ad2d11756cf7d6b47716ed663fa2addeeb1b4,1,0,135
231,8a125498268d8ca573fd385cfcf4dbe7ec4f612c1858acf0c26c495419972bbb,1,0,135
232,1b1ae506a3cf0cf2e190e8c88fd45646b8a5f95e69c7cb0cd0b6de4bef5f4dad,1,0,135
233,9e493f9683043a91ab533f50919339eb8c35756e8c2b82372b53217a73d3826b,1,0,135
234,b0dfeb4cfd4ece7d367bc6eec66af2a49c9c5aa4e12f90d728da63adbe18540f,1,0,135
235,9941bbca58bc438e2eeafbda59e6ce63428cda348b8e961983e5bc9381a3ba85,1,0,135
236,d82145d84af01f21077245f83081d0367e366c359d052a648eec97a51152e952,1,0,135
237,aa94ee85a999c699a2972ab9c225ed108ded4253cba3dc05e246ad776ef261ee,1,0,135
238,6229511483becd964893b5994aa7a2876d7435bc0c70cab7bfdb1c6eb3703d8c,1,0,135
239,bdccc4d6bce7254baff1457931cc20976f91ac8721f8b8f44eeb4fc5c7146ca1,1,0,135
240,b06bf2c935e4b9853feffd9be25ac744206667e9c99b233f58098deeef7975bd,1,0,135
241,0f00a4718228d0e7338695a96dba43dcf371cbe37d315395c8d60e516f5e5235,1,0,135
242,0cc917bf15f8807f224e7524c1eca22c3740ddefb7bf6694f7c2262b490cc706,1,0,134
243,8cda9b1663ae15d9f8b3da2e3e5335e2ced509f9d36eb36206dc5845eef65d35,1,0,134
244,516ddeb08d48ddce1682a0a81f8f1b73fcc4483978d2798d00bdd4a525204ef6,1,0,135
245,4231776c56a97967417881a329f44232d5fdd952d01b597a265a331af859cce5,1,0,135
246,ec520e569d7630f859ee8eb716ffdd4c910d6b64db1579c38620ff1a69b52198,1,0,135
247,435264846bafdb75b931b2b1c01285432d957d70190e51a73c1565a7afbb1a5b,1,0,134
248,4cb9f652eff11c0ca4d91950540f82f7aaf0d3dfa2b650234633640149915b3e,1,0,135
249,15f09c3978221c2a92e6469b1b82762f21b70c216944a63c9a821d8f846bb48f,1,0,135
250,1bf65bfe16dba06a386e229bb07c8d5e3f36cf8740aa306709a4d7923b2793d7,1,0,135
251,67ce99e1604be37cd67d18779a3fa7cbe758fd20f56978f6fc94077c7955aaff,1,0,135
252,f7126304f9e03c82c7c5ec4347c6c4e7ea9eb765a431307cb60d81c2c1b671b9,1,0,135
253,6f80ca7441710cf0942cf99e3e8aa59d38d73b124730306afeb1aec8f08fd76b,1,0,135
254,5f7694d702a9cf2ea6d3f0ddda1a4c488c507709b5440ab5a7aed4a74f4e5401,1,0,135
255,cf7bddc54f693c94a852a93e80ce971358d47b478929772b60cd84a41e0b3451,1,0,135
256,828ef3b079f9c23829c56fe86e85b4a69d9e06e5b54ea597eef5fb3ffef509fe,1,0,276
257,b415569ce5c39e7397dbea33c02eb9c632cb22ed771b20be5bf0fd0e0256897d,1,0,135
258,d4f94674f0e13387b84e8b3d877e9c458bf00f170a2707ce5fc202084c5d2d0e,1,0,135
259,ee36d141029ce5c0583c1d78b51d703b6da87279219d1fcf2e3cb21ca35f361c,1,0,135
260,242aaea6008ac8c852d6b785748cc46c8dfe1578d94a411fac3c5bd714b4838a,1,0,135
261,658ccc93eb264b6df511e8ade85712e353ddea5e0cfba4658d9836e111f8996d,1,0,135
262,3949d0ae1e01cce3b6073389b628a320eabf93cbc34afebbea1315a397403b50,1,0,135
263,4309bfeed77a70f309da08bcf8948906b9cc26120c0b0ef86e0ac67284bbd79e,1,0,135
264,12b2f144a461e73183571a52332fa727e7b76ee49e212e0695446b7ac78cd3e8,1,0,135
265,214cf5e003c073e162120b143f84b5552816fc27248205533f00b7e5042f2737,1,0,135
266,b8bcf3466dca324bca7f3a81e992a14afcce310adc290e786aa7ec78b89b8f19,1,0,135
267,d776eb69b1729316753621f55d83fd1d29964dcad0a9443bb6c2a5349e28e345,1,0,135
268,4d8ff7ae5fc60f67069f0b4dd5da0d85ae9b64676c05cc01ffc500cf345b14f3,1,0,135
269,fa015e93b37ffe1314bcd6d821fca951978138ee5f417ab1a460ddf34b1943f5,1,0,135
270,8a1289e68161330fdc167aedb8ff464b537d2ed1fcd40bdc6a264694b66581a1,1,0,135
271,2b361348f1b00810ae521de7912a199d4e184a03b389892d3a89ad021eb9322c,1,0,135
272,afb22d24e466012b7bf38b0cc46b48551d9cc0834875e122513c788b9a370c26,1,0,135
273,3cbcfdf7fa3c6312ee0c38dc2263cdba176a0012ea818ef99f833115f363ab11,1,0,134
